
="",="Food consumption"
="",="(1)",="(2)",="(3)"

="Treatment",="-15.11*",="-19.05*",="-19.05"
="",="(7.69)",="(7.62)",="(18.37)"

="Experienced crop damage",="",="51.71***",="51.71***"
="",="",="(7.90)",="(8.39)"

="Experienced drought/flood",="",="-0.06",="-0.06"
="",="",="(8.00)",="(9.52)"

="Constant",="235.41***",="210.59***",="210.59***"
="",="(5.44)",="(7.48)",="(16.73)"

="Observations",="1758",="1758",="1758"
="Clustering",="No",="No",="Yes"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
